epoch,learning_rate
1,0.0005
2,0.0005
3,0.0005
4,0.0005
5,0.0005
6,0.0005
7,0.0005
8,0.0005
9,0.0005
10,0.0005
11,0.0005
12,0.0005
13,0.0005
14,0.0005
15,0.0005
16,0.0005
17,0.0005
18,0.0005
19,0.0005
20,0.0005
21,0.0005
22,0.0005
23,0.0005
24,0.0005
25,0.0005
26,0.0005
27,0.0005
28,0.0005
29,0.0005
30,0.0005
31,0.0005
32,0.0005
33,0.0005
34,0.0005
35,0.0005
36,0.0005
37,0.0005
38,0.0005
39,0.0005
40,0.0005
41,0.0005
42,0.0005
43,0.00025
44,0.00025
45,0.00025
46,0.00025
47,0.00025
48,0.00025
49,0.00025
50,0.00025
51,0.00025
52,0.00025
53,0.00025
54,0.00025
55,0.00025
56,0.00025
57,0.00025
58,0.00025
59,0.00025
60,0.00025
61,0.00025
62,0.00025
63,0.00025
64,0.00025
65,0.00025
66,0.00025
67,0.00025
68,0.00025
69,0.00025
70,0.000125
71,0.000125
72,0.000125
73,0.000125
74,0.0005
75,0.0005
76,0.0005
77,0.0005
78,0.0005
79,0.0005
80,0.0005
81,0.00025
82,0.00025
83,0.00025
84,0.00025
85,0.00025
86,0.00025
87,0.00025
