epoch,val,running_val,extra,test_at_valbest
1,0.7635809192657471,0.7635809192657471,,0.855551591873169
2,0.7138182525634765,0.7138182525634765,,0.8087040691375732
3,0.7380030612945556,0.7138182525634765,,
4,0.7303848342895508,0.7138182525634765,,
5,0.6765940132141113,0.6765940132141113,,0.7702216720581054
6,0.6776116485595703,0.6765940132141113,,
7,0.7204002990722657,0.6765940132141113,,
8,0.6869578495025634,0.6765940132141113,,
9,0.6808992881774902,0.6765940132141113,,
10,0.6740781383514405,0.6740781383514405,,0.7424904232025147
11,0.6741650695800782,0.6740781383514405,,
12,0.6568859882354736,0.6568859882354736,,0.7357387390136719
13,0.7007632446289063,0.6568859882354736,,
14,0.6498923721313477,0.6498923721313477,,0.7241078834533692
15,0.6582096672058105,0.6498923721313477,,
16,0.6966677303314209,0.6498923721313477,,
17,0.6396947288513184,0.6396947288513184,,0.6931358547210693
18,0.6561253719329834,0.6396947288513184,,
19,0.629729528427124,0.629729528427124,,0.6878898944854737
20,0.643323205947876,0.629729528427124,,
21,0.6503516883850098,0.629729528427124,,
22,0.6446470069885254,0.629729528427124,,
23,0.6236904182434082,0.6236904182434082,,0.6829282207489014
24,0.6377825202941895,0.6236904182434082,,
25,0.6297398490905761,0.6236904182434082,,
26,0.6254391899108886,0.6236904182434082,,
27,0.6592148399353027,0.6236904182434082,,
28,0.6254031906127929,0.6236904182434082,,
29,0.6176263580322265,0.6176263580322265,,0.6714169311523438
30,0.6170382347106934,0.6170382347106934,,0.6699952125549317
31,0.6232441520690918,0.6170382347106934,,
32,0.6179818344116211,0.6170382347106934,,
33,0.6238188362121582,0.6170382347106934,,
34,0.6188630828857422,0.6170382347106934,,
35,0.6325920276641845,0.6170382347106934,,
36,0.6023904113769531,0.6023904113769531,,0.6688238182067872
37,0.6254886722564698,0.6023904113769531,,
38,0.6088419361114502,0.6023904113769531,,
39,0.6178915481567383,0.6023904113769531,,
40,0.6175226402282715,0.6023904113769531,,
41,0.6167129077911377,0.6023904113769531,,
42,0.613997392654419,0.6023904113769531,,
43,0.6035274276733399,0.6023904113769531,,
44,0.5990887985229493,0.5990887985229493,,0.6459433898925782
45,0.5939902725219727,0.5939902725219727,,0.6507647933959961
46,0.6066075096130371,0.5939902725219727,,
47,0.5907455596923828,0.5907455596923828,,0.6446930332183838
48,0.5894246883392334,0.5894246883392334,,0.6496342315673828
49,0.5873721752166748,0.5873721752166748,,0.6402008247375488
50,0.5921340198516846,0.5873721752166748,,
51,0.5918615093231201,0.5873721752166748,,
52,0.5816151161193848,0.5816151161193848,,0.6411670837402343
53,0.5898624992370606,0.5816151161193848,,
54,0.5892376823425293,0.5816151161193848,,
55,0.584458122253418,0.5816151161193848,,
56,0.5814409255981445,0.5814409255981445,,0.640900318145752
57,0.5865018844604493,0.5814409255981445,,
58,0.5849906063079834,0.5814409255981445,,
59,0.5873013496398926,0.5814409255981445,,
60,0.578938367843628,0.578938367843628,,0.6378467941284179
61,0.5833798866271973,0.578938367843628,,
62,0.5841578769683838,0.578938367843628,,
63,0.5762186832427979,0.5762186832427979,,0.6323339042663574
64,0.5830857448577881,0.5762186832427979,,
65,0.5960474281311036,0.5762186832427979,,
66,0.5814951457977295,0.5762186832427979,,
67,0.57833154296875,0.5762186832427979,,
68,0.5774195404052734,0.5762186832427979,,
69,0.5802666206359863,0.5762186832427979,,
70,0.575695348739624,0.575695348739624,,0.6310964622497559
71,0.5768164710998536,0.575695348739624,,
72,0.577833475112915,0.575695348739624,,
73,0.5804592800140381,0.575695348739624,,
74,0.5826732902526855,0.575695348739624,,
75,0.5916580486297608,0.575695348739624,,
76,0.5883375091552734,0.575695348739624,,
77,0.5948804626464844,0.575695348739624,,
78,0.6000305976867676,0.575695348739624,,
79,0.5949855651855469,0.575695348739624,,
80,0.5903344268798828,0.575695348739624,,
81,0.5781891288757324,0.575695348739624,,
82,0.5799542808532715,0.575695348739624,,
83,0.5798212223052979,0.575695348739624,,
84,0.5830299015045166,0.575695348739624,,
85,0.58145090675354,0.575695348739624,,
86,0.5756554565429688,0.5756554565429688,,0.6441472301483154
87,0.5744682388305664,0.5744682388305664,,0.637211727142334
