epoch,time_sec
1,7.511899471282959
2,8.432563781738281
3,7.87703537940979
4,6.863086462020874
5,8.486575603485107
6,6.819625377655029
7,8.02250075340271
8,7.006875991821289
9,7.87135648727417
10,8.839614629745483
11,6.977835178375244
12,8.648507595062256
13,6.938532829284668
14,8.732407093048096
15,7.475748777389526
16,7.306523561477661
17,8.75292682647705
18,6.851929664611816
19,8.649588108062744
20,6.9876792430877686
21,7.967747211456299
22,7.719552755355835
23,7.603559494018555
24,7.967181921005249
25,6.9802868366241455
26,8.058048725128174
27,6.803852081298828
28,8.051240682601929
29,8.51219129562378
30,7.696962833404541
31,8.043567895889282
32,6.832122564315796
33,8.197937965393066
34,6.813363552093506
35,7.987524747848511
36,8.214849948883057
37,7.234180927276611
38,8.101473331451416
39,6.837116241455078
40,7.943562746047974
41,6.881793260574341
42,7.976574659347534
43,7.025671005249023
44,8.329296350479126
45,8.711016178131104
46,6.808512926101685
47,8.660730838775635
48,7.701475381851196
49,8.458787441253662
50,7.998429298400879
51,6.859586238861084
52,8.752618789672852
53,6.872403621673584
54,8.026782035827637
55,7.281745910644531
56,8.277971029281616
57,8.079020977020264
58,6.861526727676392
59,8.05007553100586
60,7.511536359786987
61,7.993109226226807
62,7.537001371383667
63,7.92284631729126
64,8.076940536499023
65,6.758303165435791
66,8.035212993621826
67,6.904139518737793
68,8.109723806381226
69,7.3093695640563965
70,8.093928575515747
71,7.920867919921875
72,6.939384937286377
73,8.044685363769531
74,7.32457709312439
75,8.484503030776978
76,8.499765157699585
77,7.47945237159729
78,8.53127384185791
79,7.36875057220459
80,8.577205657958984
81,8.227147102355957
82,7.432497024536133
83,8.45608925819397
84,7.30761456489563
85,8.448128938674927
86,8.998095750808716
87,8.001037359237671
